🕘️更新时间,#genre#
2025-02-27 06:21:06,http://tvbox6.icu/tv/migu.php?id=cctv1

频道分类,#genre#
cctv-1,http://tvbox6.icu/tv/migu.php?id=cctv1
cctv-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
cctv-1,http://42.237.159.135:9003/hls/1/index.m3u8
cctv-1,http://123.182.60.29:9002/hls/1/index.m3u8
cctv-1,http://home.wwang.pw:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
cctv-1,http://112.123.206.32:808/hls/1/index.m3u8
cctv-1,http://219.135.180.210:18888/hls/1/index.m3u8
cctv-1,http://36.105.100.208:35455/gaoma/cctv1.m3u8
cctv-1,http://lt.hxtre.com:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
cctv-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
cctv-2,http://tvbox6.icu/tv/migu.php?id=cctv2
cctv-2,http://42.237.159.135:9003/hls/2/index.m3u8
cctv-2,http://123.182.60.29:9002/hls/2/index.m3u8
cctv-2,http://112.123.206.32:808/hls/2/index.m3u8
cctv-2,http://219.135.180.210:18888/hls/2/index.m3u8
cctv-2,http://36.105.100.208:35455/gaoma/cctv2.m3u8
cctv-2,http://lt.hxtre.com:35455/itv/1000000001000012442.m3u8?cdn=ystenlive
cctv-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
cctv-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-2,http://iptv.0564.org:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv-3,http://tvbox6.icu/tv/migu.php?id=cctv3
cctv-3,http://42.237.159.135:9003/hls/3/index.m3u8
cctv-3,http://39.170.52.236:808/hls/3/index.m3u8
cctv-3,http://123.182.60.29:9002/hls/3/index.m3u8
cctv-3,http://58.17.48.228:808/hls/3/index.m3u8
cctv-3,http://home.wwang.pw:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
cctv-3,http://219.135.180.210:18888/hls/3/index.m3u8
cctv-3,http://36.105.100.208:35455/gaoma/cctv3.m3u8
cctv-3,http://lt.hxtre.com:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
cctv-3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
cctv-4,http://tvbox6.icu/tv/migu.php?id=cctv4a
cctv-4,http://42.237.159.135:9003/hls/4/index.m3u8
cctv-4,http://39.170.52.236:808/hls/4/index.m3u8
cctv-4,http://123.182.60.29:9002/hls/4/index.m3u8
cctv-4,http://home.wwang.pw:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv-4,http://219.135.180.210:18888/hls/4/index.m3u8
cctv-4,http://36.105.100.208:35455/gaoma/cctv4k.m3u8
cctv-4,http://lt.hxtre.com:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv-4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
cctv-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-5,http://tvbox6.icu/tv/migu.php?id=cctv5
cctv-5,http://42.237.159.135:9003/hls/5/index.m3u8
cctv-5,http://39.170.52.236:808/hls/5/index.m3u8
cctv-5,http://123.182.60.29:9002/hls/7/index.m3u8
cctv-5,http://58.17.48.228:808/hls/5/index.m3u8
cctv-5,http://219.135.180.210:18888/hls/5/index.m3u8
cctv-5,http://36.105.100.208:35455/gaoma/cctv5.m3u8
cctv-5,http://lt.hxtre.com:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
cctv-5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
cctv-5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

自建频道,#genre#
